applicant_id,cohort,selected,age_at_application,age_at_survey,age_gap,application_year_plus_age_gap
100121,A_2020,1,12.0,14.0,2.0,2022.0
100122,A_2020,1,14.0,17.0,3.0,2023.0
100124,A_2020,1,18.0,19.0,1.0,2021.0
100125,A_2020,1,14.0,17.0,3.0,2023.0
100126,B_2018,1,12.0,16.0,4.0,2022.0
100127,A_2020,1,12.0,14.0,2.0,2022.0
100128,A_2022,1,14.0,15.0,1.0,2023.0
100129,A_2020,1,12.0,14.0,2.0,2022.0
100130,A_2022,0,11.0,13.0,2.0,2024.0
100131,A_2020,0,12.0,14.0,2.0,2022.0
100132,A_2022,1,12.0,12.0,0.0,2022.0
100133,A_2022,1,13.0,12.0,-1.0,2021.0
100134,A_2020,0,11.0,14.0,3.0,2023.0
100135,B_2018,1,14.0,19.0,5.0,2023.0
100136,A_2020,1,12.0,14.0,2.0,2022.0
100137,A_2020,1,11.0,14.0,3.0,2023.0
100138,A_2020,0,13.0,15.0,2.0,2022.0
100139,A_2020,1,13.0,16.0,3.0,2023.0
100140,A_2020,0,16.0,19.0,3.0,2023.0
100141,A_2020,0,13.0,17.0,4.0,2024.0
100142,A_2020,1,13.0,16.0,3.0,2023.0
100143,A_2022,1,12.0,13.0,1.0,2023.0
100144,A_2020,0,13.0,15.0,2.0,2022.0
100145,A_2020,1,13.0,15.0,2.0,2022.0
100146,A_2022,0,12.0,13.0,1.0,2023.0
100147,A_2020,0,13.0,15.0,2.0,2022.0
100148,A_2020,0,13.0,15.0,2.0,2022.0
100149,B_2018,1,14.0,18.0,4.0,2022.0
100150,A_2020,1,14.0,18.0,4.0,2024.0
100151,A_2020,1,11.0,14.0,3.0,2023.0
100152,A_2022,1,13.0,14.0,1.0,2023.0
100153,A_2020,0,14.0,17.0,3.0,2023.0
100154,A_2022,1,14.0,15.0,1.0,2023.0
100155,A_2022,1,16.0,16.0,0.0,2022.0
100156,A_2020,1,11.0,14.0,3.0,2023.0
100157,A_2020,1,11.0,14.0,3.0,2023.0
100158,A_2020,0,14.0,16.0,2.0,2022.0
100159,A_2022,1,13.0,13.0,0.0,2022.0
100160,A_2020,0,16.0,18.0,2.0,2022.0
100161,A_2022,0,14.0,15.0,1.0,2023.0
100162,A_2020,1,12.0,14.0,2.0,2022.0
100163,A_2020,0,12.0,15.0,3.0,2023.0
100164,B_2018,1,10.0,14.0,4.0,2022.0
100165,A_2020,0,14.0,17.0,3.0,2023.0
100166,A_2020,0,11.0,14.0,3.0,2023.0
100167,A_2020,1,14.0,16.0,2.0,2022.0
100168,A_2022,0,11.0,12.0,1.0,2023.0
100169,A_2020,1,12.0,14.0,2.0,2022.0
100170,A_2020,0,12.0,14.0,2.0,2022.0
100171,A_2020,1,14.0,16.0,2.0,2022.0
100172,A_2020,0,16.0,19.0,3.0,2023.0
100174,A_2022,1,12.0,13.0,1.0,2023.0
100175,A_2020,0,13.0,16.0,3.0,2023.0
100176,A_2020,0,11.0,14.0,3.0,2023.0
100177,B_2018,0,13.0,18.0,5.0,2023.0
100178,A_2020,0,14.0,16.0,2.0,2022.0
100179,A_2020,0,11.0,14.0,3.0,2023.0
100180,A_2020,0,12.0,14.0,2.0,2022.0
100181,B_2018,1,13.0,17.0,4.0,2022.0
100182,A_2022,1,16.0,16.0,0.0,2022.0
100183,A_2020,0,12.0,14.0,2.0,2022.0
100184,A_2020,0,12.0,15.0,3.0,2023.0
100185,A_2022,0,16.0,17.0,1.0,2023.0
100186,A_2020,1,11.0,13.0,2.0,2022.0
100187,B_2018,0,11.0,15.0,4.0,2022.0
100188,A_2022,0,13.0,14.0,1.0,2023.0
100189,A_2020,1,11.0,13.0,2.0,2022.0
100190,B_2018,0,13.0,18.0,5.0,2023.0
100191,A_2020,1,14.0,16.0,2.0,2022.0
100192,A_2020,1,13.0,16.0,3.0,2023.0
100193,A_2020,1,12.0,14.0,2.0,2022.0
100194,A_2020,1,14.0,15.0,1.0,2021.0
