"applicant_id","cohort","selected","male","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","years_in_school","receiving_aid_now","history_g6_g7_current","g6_private_current_nonprivate","ever_g6_g7_private_current_nonprivate","current_status"
100180,"A_2020",0,1,1,1,0,1,6,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100184,"A_2020",0,0,1,1,0,1,8,4,1,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100185,"A_2022",0,0,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100191,"A_2020",1,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100200,"A_2020",1,1,1,1,0,0,6,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100207,"A_2020",0,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100215,"A_2020",0,1,1,0,0,1,6,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100218,"A_2020",0,0,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100223,"A_2020",1,0,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100226,"A_2020",0,0,1,1,0,0,9,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100228,"A_2020",0,0,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100231,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100236,"A_2022",0,0,1,0,0,1,7,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100238,"A_2020",1,1,1,1,0,0,6,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100239,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100242,"A_2020",0,1,1,1,0,0,8,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100243,"A_2020",1,1,1,0,0,0,5,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100253,"A_2020",0,1,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100259,"A_2020",0,0,1,0,0,0,7,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100265,"A_2020",1,1,1,1,0,1,6,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100266,"B_2018",1,0,1,1,0,1,9,6,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100270,"A_2020",0,0,1,1,0,0,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100272,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100279,"A_2020",0,1,1,0,0,1,7,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
