"applicant_id","municipality","application_year","selected","male","age_at_application","has_phone","ses_stratum","neighborhood","age_at_survey","survey_month","survey_form","household_visit","mother_educ","father_educ","mother_age","father_age","father_income_high","receiving_aid_now","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","finished_g6","finished_g7","finished_g8","repeats_g6","ever_repeated","total_repeats","years_in_school","married_or_cohab","has_child","working","hours_worked","cohort","selected_clean","male_clean","has_phone_clean","survey_form_clean","household_visit_clean","father_income_high_clean","receiving_aid_now_clean","started_g6_private_clean","started_g7_private_clean","in_private_now_clean","in_school_now_clean","finished_g6_clean","finished_g7_clean","finished_g8_clean","ever_repeated_clean","married_or_cohab_clean","has_child_clean","working_clean","ses_stratum_clean","neighborhood_clean","survey_month_clean","repeats_g6_clean","total_repeats_clean","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean","grade_conflict","grade_below_5_review","school_years_below_grade_progress_review","finished_g6_conflict","finished_g7_conflict","finished_g8_conflict","repeats_conflict","private_school_conflict","mother_child_age_gap","mother_age_gap_over_60","mother_age_clean","father_child_age_gap","father_age_gap_over_60","father_age_clean","work_hours_conflict","years_in_school_above_4","years_in_school_exceeds_age_gap_plus_1","primary_logic_flag","age_at_application_missing","ses_stratum_missing","neighborhood_missing","age_at_application_imp","ses_stratum_imp","male_c","has_phone_c","age_at_application_imp_c","age_at_application_missing_c","ses_stratum_imp_c","ses_stratum_missing_c"
100010,"A",2020,0,0,15,1,2,19,17,6,0,0,,,,,,0,1,1,1,1,7,1,1,0,1,1,1,4,0,0,0,0,"A_2020",0,0,1,0,0,,0,1,1,1,1,1,1,0,1,0,0,0,2,19,6,1,1,2,FALSE,FALSE,FALSE,FALSE,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,,FALSE,FALSE,TRUE,FALSE,0,0,0,15,2,-0.501700680272109,0,2.40625,-0.0476190476190476,0,-0.158163265306122
100011,"A",2022,1,1,12,1,2,,13,10,1,0,,8,,38,0,0,1,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,"A_2022",1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,,10,0,0,1,FALSE,FALSE,FALSE,TRUE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,25,FALSE,38,FALSE,FALSE,FALSE,FALSE,0,0,1,12,2,0.494584837545126,0,-0.408088235294118,-0.0180505415162455,-0.0758928571428572,-0.191335740072202
100012,"A",2020,0,1,11,1,2,,14,6,0,0,5,,32,31,0,0,0,0,0,1,5,0,0,0,1,1,1,3,0,0,0,0,"A_2020",0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,,6,1,1,3,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,FALSE,32,17,FALSE,31,FALSE,FALSE,FALSE,FALSE,0,0,1,11,2,0.498299319727891,0,-1.59375,-0.0476190476190476,0,-0.158163265306122
100013,"A",2020,1,1,11,1,2,15,14,3,0,0,11,11,39,49,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,15,3,0,0,3,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,39,35,FALSE,49,FALSE,FALSE,FALSE,FALSE,0,0,0,11,2,0.498299319727891,0,-1.59375,-0.0476190476190476,0,-0.158163265306122
100014,"A",2020,1,1,14,1,,,16,2,0,1,9,5,41,41,0,1,0,0,0,1,8,1,1,1,0,0,0,4,0,0,1,40,"A_2020",1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,,,2,0,0,2,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,41,25,FALSE,41,FALSE,FALSE,TRUE,FALSE,0,1,1,14,2,0.498299319727891,0,1.40625,-0.0476190476190476,0,0.841836734693878
100015,"A",2020,1,0,14,1,1,5,17,7,1,0,5,6,40,42,,0,0,0,0,1,8,1,1,1,0,0,0,4,0,1,0,0,"A_2020",1,0,1,1,0,,0,0,0,0,1,1,1,1,0,0,1,0,1,5,7,0,0,3,FALSE,FALSE,FALSE,FALSE,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,40,25,FALSE,42,FALSE,FALSE,FALSE,FALSE,0,0,0,14,1,-0.501700680272109,0,1.40625,-0.0476190476190476,-1,-0.158163265306122
100016,"B",2018,1,0,12,0,2,,16,8,1,1,4,4,38,42,0,0,0,0,0,1,10,1,1,1,0,0,0,6,0,0,0,0,"B_2018",1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,2,,8,0,0,4,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,38,26,FALSE,42,FALSE,TRUE,TRUE,FALSE,0,0,1,12,2,-0.424242424242424,-0.442424242424242,-0.401234567901234,-0.0181818181818182,0.056,-0.242424242424242
100017,"A",2022,1,0,13,1,2,,14,4,1,0,0,2,34,50,0,1,1,1,0,1,7,1,1,0,0,0,0,2,0,0,0,0,"A_2022",1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,2,,4,0,0,1,FALSE,FALSE,FALSE,TRUE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,34,36,FALSE,50,FALSE,FALSE,FALSE,FALSE,0,0,1,13,2,-0.505415162454874,0,0.591911764705882,-0.0180505415162455,-0.0758928571428572,-0.191335740072202
100018,"A",2020,1,1,12,1,,19,14,5,1,0,6,,55,,,1,1,1,1,1,9,1,1,1,0,0,0,4,0,0,0,0,"A_2020",1,1,1,1,0,,1,1,1,1,1,1,1,1,0,0,0,0,,19,5,0,0,2,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,55,,FALSE,,FALSE,FALSE,TRUE,FALSE,0,1,0,12,2,0.498299319727891,0,-0.59375,-0.0476190476190476,0,0.841836734693878
100019,"A",2020,0,1,10,1,2,8,13,8,1,0,3,,43,,,0,0,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",0,1,1,1,0,,0,0,0,0,1,1,1,1,0,0,0,0,2,8,8,0,0,3,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,43,,FALSE,,FALSE,FALSE,FALSE,FALSE,0,0,0,10,2,0.498299319727891,0,-2.59375,-0.0476190476190476,0,-0.158163265306122
