applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked,cohort,private_history_g6_g7_current,g6_to_current_exit,g6_to_g7_nonprivate_start,earlier_private_to_current_exit,g6_private_g7_nonprivate_current_private,current_exit_schooling_status,age_change
100191,A,2020,1,1,14,1,1,6,16,3,0,0,5.0,,40.0,,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,1,40.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100200,A,2020,1,1,15,1,2,,17,4,0,0,1.0,,42.0,,,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100223,A,2020,1,0,13,1,1,19,15,4,0,0,5.0,,37.0,,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100231,A,2020,1,0,,1,2,6,15,4,1,0,5.0,5.0,32.0,38.0,0,0,1,1,0,1,8,1,1,1,1,1,1,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,
100238,A,2020,1,1,14,1,2,4,17,3,0,0,9.0,11.0,34.0,38.0,1,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100243,A,2020,1,1,13,1,2,12,16,7,1,0,5.0,5.0,46.0,63.0,0,0,1,0,0,0,5,0,0,0,1,1,1,2,0,0,1,40.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,3.0
100265,A,2020,1,1,13,1,2,,16,5,0,0,9.0,5.0,50.0,49.0,0,0,1,1,0,1,6,1,0,0,0,0,0,3,0,0,1,30.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100266,B,2018,1,0,11,1,3,,15,5,1,0,,6.0,,42.0,0,0,1,1,0,1,9,1,1,1,0,0,0,6,0,0,0,0.0,B2018,1->1->0,1,0,1,0,enrolled_nonprivate,4.0
100272,A,2020,1,0,13,1,1,,16,4,0,0,5.0,,51.0,,,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100282,A,2020,1,1,14,1,2,,17,8,1,0,11.0,,40.0,,,0,1,1,0,0,7,1,1,0,0,0,0,2,0,0,1,40.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100291,A,2020,1,1,14,1,3,17,16,3,0,0,,,,,,0,1,1,0,0,7,1,1,0,1,1,1,3,0,1,1,28.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100294,A,2020,1,0,12,1,,16,14,3,0,0,9.0,,42.0,52.0,,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,2.0
100296,A,2020,1,1,11,1,,5,13,3,0,0,5.0,5.0,32.0,34.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100299,A,2020,1,1,13,1,2,19,16,2,0,0,2.0,6.0,39.0,38.0,0,1,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100306,A,2020,1,1,13,1,,,16,6,0,0,4.0,,34.0,,,0,1,1,0,0,7,1,1,0,0,0,0,2,0,0,1,40.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100307,A,2022,1,1,14,1,1,,15,7,1,0,5.0,5.0,40.0,45.0,0,0,1,0,0,1,5,0,0,0,1,1,1,2,0,0,0,0.0,A2022,1->0->0,1,1,1,0,enrolled_nonprivate,1.0
100309,A,2020,1,1,14,1,2,5,16,4,0,0,2.0,11.0,43.0,48.0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100315,B,2018,1,0,10,0,1,,15,7,1,0,5.0,,42.0,,,0,1,1,0,0,8,1,1,1,0,0,0,4,0,0,1,40.0,B2018,1->1->0,1,0,1,0,not_currently_enrolled,5.0
100337,A,2020,1,0,15,1,,19,17,3,0,0,3.0,3.0,38.0,72.0,0,0,1,1,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100384,A,2020,1,1,12,1,2,19,14,4,0,0,,,51.0,57.0,0,0,1,1,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100402,A,2020,1,0,12,1,3,11,14,3,0,0,7.0,6.0,38.0,37.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100405,A,2020,1,0,12,1,3,7,14,3,0,0,8.0,7.0,37.0,39.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100415,A,2020,1,0,15,1,4,16,17,3,0,0,5.0,5.0,34.0,53.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,1,1,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100437,A,2020,1,1,13,1,2,,15,3,0,0,2.0,0.0,42.0,55.0,0,0,1,1,0,1,8,1,1,1,1,1,1,5,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100440,A,2022,1,1,15,1,1,,15,8,1,0,5.0,6.0,41.0,50.0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,1,0.0,A2022,1->0->0,1,1,1,0,not_currently_enrolled,0.0
100446,A,2020,1,0,12,1,2,15,14,3,0,0,7.0,,38.0,,,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100451,A,2020,1,0,12,1,2,,15,8,1,0,6.0,7.0,40.0,47.0,0,0,1,1,0,1,8,1,1,1,1,1,1,5,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100459,A,2020,1,1,15,1,2,4,19,6,1,0,9.0,,45.0,,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,30.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,4.0
100462,A,2020,1,1,,1,1,5,15,4,0,0,2.0,,43.0,,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,
100472,A,2020,1,0,11,1,2,4,13,3,0,0,5.0,5.0,34.0,36.0,1,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100483,A,2020,1,0,14,1,,4,17,8,1,0,5.0,0.0,44.0,56.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,0,1,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100489,A,2020,1,0,11,1,,,14,4,0,0,11.0,8.0,35.0,34.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100503,A,2020,1,1,12,1,2,19,15,3,0,0,8.0,10.0,36.0,38.0,0,0,1,1,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
