applicant_id,cohort,selected,years_in_school,highest_grade,total_repeats,years_minus_highest_grade_plus5,age_at_application,age_at_survey,age_change,exceeds_4_years,exceeds_age_change_plus1
100289,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100295,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100297,A2020,0,4,8,0,1.0,10,12,2.0,0,1
100300,A2020,0,3,6,0,2.0,13,15,2.0,0,0
100301,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100308,A2020,0,3,7,0,1.0,15,17,2.0,0,0
100313,A2020,0,4,7,1,2.0,12,15,3.0,0,0
100314,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100318,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100319,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100323,A2020,0,3,7,0,1.0,15,17,2.0,0,0
100327,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100329,A2020,0,2,6,1,1.0,,18,,0,
100332,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100334,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100335,A2020,0,3,7,0,1.0,,14,,0,
100336,A2020,0,4,9,0,0.0,13,17,4.0,0,0
100339,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100343,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100346,A2020,0,2,6,1,1.0,11,13,2.0,0,0
100348,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100350,A2020,0,4,7,1,2.0,13,15,2.0,0,1
100351,A2020,0,4,7,0,2.0,13,15,2.0,0,1
100352,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100355,A2020,0,5,8,1,2.0,13,16,3.0,1,1
100359,A2020,0,6,8,2,3.0,14,17,3.0,1,1
100362,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100364,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100365,A2020,0,4,9,0,0.0,11,14,3.0,0,0
100366,A2020,0,4,7,1,2.0,11,14,3.0,0,0
100367,A2020,0,0,5,0,0.0,15,18,3.0,0,0
100368,A2020,0,6,9,1,2.0,15,10,-5.0,1,1
100369,A2020,0,5,10,0,0.0,14,17,3.0,1,1
100370,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100373,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100375,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100377,A2020,0,4,7,0,2.0,14,16,2.0,0,1
100379,A2020,0,4,7,0,2.0,12,15,3.0,0,0
100381,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100387,A2020,0,4,6,0,3.0,12,14,2.0,0,1
100388,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100394,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100397,A2020,0,4,8,0,1.0,14,16,2.0,0,1
