cohort,selected,all_applicants,g6_to_current_start_private_n,g6_to_current_end_unknown_n,g6_to_current_observed_denominator,g6_to_current_exit_n,g6_to_current_exit_pct,g6_to_current_exit_still_enrolled,g6_to_current_exit_not_enrolled,g6_to_current_exit_enrollment_unknown,g6_to_g7_start_private_n,g6_to_g7_end_unknown_n,g6_to_g7_observed_denominator,g6_to_g7_exit_n,g6_to_g7_exit_pct,g7_to_current_start_private_n,g7_to_current_end_unknown_n,g7_to_current_observed_denominator,g7_to_current_exit_n,g7_to_current_exit_pct,g7_to_current_exit_still_enrolled,g7_to_current_exit_not_enrolled,g7_to_current_exit_enrollment_unknown,ever_g6_or_g7_private_current_observed_n,ever_g6_or_g7_private_current_exit_n,ever_g6_or_g7_private_current_exit_pct,g6_private_g7_nonprivate_current_private_n
A2020,0,583,503,5,498,208,41.76706827309237,127,81,0,503,0,503,125,24.85089463220676,388,5,383,89,23.237597911227155,52,37,0,508,210,41.338582677165356,4
A2020,1,593,554,2,552,150,27.17391304347826,68,82,0,554,0,554,60,10.830324909747292,499,2,497,98,19.718309859154928,48,50,0,557,151,27.10951526032316,7
A2022,0,131,115,0,115,32,27.82608695652174,25,7,0,115,0,115,34,29.565217391304348,83,0,83,5,6.024096385542169,5,0,0,117,32,27.35042735042735,7
A2022,1,146,127,1,126,11,8.73015873015873,8,3,0,127,0,127,13,10.236220472440944,118,1,117,2,1.7094017094017093,1,1,0,130,12,9.23076923076923,3
B2018,0,74,38,0,38,13,34.21052631578947,9,4,0,38,0,38,4,10.526315789473685,37,0,37,11,29.72972972972973,7,4,0,41,13,31.70731707317073,2
B2018,1,91,71,1,70,20,28.571428571428573,7,13,0,71,0,71,7,9.859154929577464,65,1,64,14,21.875,3,11,0,71,21,29.577464788732396,0
