"cohort","outcome","exposure","baseline_adjusted","n","n_control","n_selected","df","reduced_form","reduced_form_se","first_stage","first_stage_se","first_stage_F","estimate","se","ci_low","ci_high","p_value","ar_p_zero","ar_type","ar_low","ar_high","ar_set","var_rf","var_fs","cov_rf_fs","inference_status","holm_ar_p"
"A_2020","years_in_school","in_private_now",FALSE,1162,572,590,1160,0.0794239658646485,0.0545612196742995,0.159896882778241,0.0281830963825552,32.1886366543815,0.496719914013586,0.310629656580644,-0.112738934214876,1.10617876224205,0.110076402167687,0.145750207109403,"bounded",-0.209108342977094,1.09445054431313,"[-0.209108, 1.094451]",0.00297692669234717,0.000794286921708395,0.000710582050401237,"Exploratory; valid-IV assumptions required",0.292428511912728
"A_2020","years_in_school","in_private_now",TRUE,1162,572,590,1155,0.057662807141968,0.0524477908271282,0.150629440651836,0.0275624708071057,29.8664382237417,0.382812329996295,0.324496452870441,-0.253856205806181,1.01948086579877,0.23835774222283,0.271808556499443,"bounded",-0.365975910446291,1.00424686335345,"[-0.365976, 1.004247]",0.00275077076264619,0.000759689796992556,0.000617757697443869,"Exploratory; valid-IV assumptions required",0.464438108340004
"A_2020","married_or_cohab","in_private_now",FALSE,1161,572,589,1159,-0.0106913460054376,0.00644618304914286,0.161079582556661,0.0281798484430081,32.674103829598,-0.0663730674970977,0.0401374411811671,-0.145123245400989,0.0123771104067932,0.0984705198788801,0.0974761706375761,"bounded",-0.155096267265924,0.0128599413771694,"[-0.155096, 0.012860]",4.15532759030567e-05,0.000794103858270907,-2.44919849897812e-05,"Exploratory; valid-IV assumptions required",0.292428511912728
"A_2020","married_or_cohab","in_private_now",TRUE,1161,572,589,1154,-0.00927707247835154,0.00651631404200404,0.151865538450597,0.02755869766557,30.3669439504339,-0.0610874104355773,0.0430743095497986,-0.145600144790331,0.0234253239191767,0.15640625871231,0.154812702780001,"bounded",-0.156610596320615,0.0245385429418961,"[-0.156611, 0.024539]",4.2462348694019e-05,0.000759481817022292,-2.0505217048333e-05,"Exploratory; valid-IV assumptions required",0.464438108340004
"A_2020","has_child","in_private_now",FALSE,1161,572,589,1159,-0.0146419794127778,0.00993195359943761,0.161079582556661,0.0281798484430081,32.674103829598,-0.0908990399675725,0.0607759742879709,-0.210142286338388,0.0283442064032427,0.135019459559461,0.140691356460855,"bounded",-0.221378528973896,0.0326290119482748,"[-0.221379, 0.032629]",9.86437023013817e-05,0.000794103858270907,-5.15160798060551e-05,"Exploratory; valid-IV assumptions required",0.292428511912728
"A_2020","has_child","in_private_now",TRUE,1161,572,589,1154,-0.0125192636351714,0.00976612051069239,0.151865538450597,0.02755869766557,30.3669439504339,-0.082436501150286,0.0636773759765384,-0.207372900980243,0.0424998986796714,0.195718472955302,0.200132556603478,"bounded",-0.220015666448014,0.0474892439877778,"[-0.220016, 0.047489]",9.53771098293665e-05,0.000759481817022292,-4.25889136628011e-05,"Exploratory; valid-IV assumptions required",0.464438108340004
"A_2020","working","in_private_now",FALSE,1162,572,590,1160,-0.039658646438309,0.0219930454520894,0.159896882778241,0.0281830963825552,32.1886366543815,-0.248026388940371,0.132356837697789,-0.507711979641571,0.0116592017608298,0.0611923960479394,0.0716105997855341,"bounded",-0.529326918996178,0.0242694052900468,"[-0.529327, 0.024269]",0.000483694048257669,0.000794286921708395,-0.000170677063490287,"Exploratory; valid-IV assumptions required",0.286442399142136
"A_2020","working","in_private_now",TRUE,1162,572,590,1155,-0.0330572353681096,0.020761170609719,0.150629440651836,0.0275624708071057,29.8664382237417,-0.219460652745288,0.134539098806789,-0.483429057600864,0.0445077521102884,0.103119998797344,0.111599337500875,"bounded",-0.509589367877634,0.0562419112807198,"[-0.509589, 0.056242]",0.000431026205085862,0.000759689796992556,-0.000129687584293236,"Exploratory; valid-IV assumptions required",0.446397350003499
"A_2020","hours_worked","in_private_now",FALSE,1162,572,590,1160,-1.43531468531467,0.667139434923433,0.159896882778241,0.0281830963825552,32.1886366543815,-8.97650198287659,3.99719594239056,-16.8190449712354,-1.13395899451778,0.0249109124132092,0.0316469485132519,"bounded",-17.6000737903091,-0.875431494969896,"[-17.600074, -0.875431]",0.445075025629957,0.000794286921708395,-0.00560228639576944,"Exploratory; valid-IV assumptions required",0.158234742566259
"A_2020","hours_worked","in_private_now",TRUE,1162,572,590,1155,-1.22869363033778,0.628008301925103,0.150629440651836,0.0275624708071057,29.8664382237417,-8.15706162766527,4.06534514088484,-16.1333501679048,-0.180773087425778,0.0450370881999736,0.0506478390554903,"bounded",-17.0829341991377,0.025299694535346,"[-17.082934, 0.025300]",0.394394427286851,0.000759689796992556,-0.00428811403283907,"Exploratory; valid-IV assumptions required",0.253239195277451
