"cohort","outcome","exposure","baseline_adjusted","n","n_control","n_selected","df","reduced_form","reduced_form_se","first_stage","first_stage_se","first_stage_F","estimate","se","ci_low","ci_high","p_value","ar_p_zero","ar_type","ar_low","ar_high","ar_set","var_rf","var_fs","cov_rf_fs","inference_status","holm_ar_p"
"A_2020","years_in_school","started_g6_private",FALSE,1161,571,590,1159,0.056873163347086,0.052027359385938,0.0598236813203118,0.0168420872074309,12.6169518340872,0.950679765803313,0.919825179163343,-0.854029113684986,2.75538864529161,0.3015650138558,0.274559693642628,"bounded",-0.794572296940161,3.63625264738851,"[-0.794572, 3.636253]",0.00270684612467355,0.000283655901502706,-3.40781448536272e-05,"Exploratory; valid-IV assumptions required",0.777969525058148
"A_2020","years_in_school","started_g6_private",TRUE,1161,571,590,1154,0.0367360165178557,0.0501586741082828,0.0587127040398519,0.0168959110640824,12.0753835812894,0.625691102438762,0.882805375765654,-1.10639228993172,2.35777449480925,0.478620814822785,0.464075569309805,"bounded",-1.1353043019799,3.12660827618518,"[-1.135304, 3.126608]",0.00251589258830092,0.000285471810685383,-4.70624683503376e-05,"Exploratory; valid-IV assumptions required",1
"A_2020","married_or_cohab","started_g6_private",FALSE,1160,571,589,1158,-0.00727285701967471,0.00644444925359114,0.0597200871791356,0.0168515872927087,12.5591207865251,-0.121782424695047,0.113597060097044,-0.34466152471898,0.101096675328886,0.283918189462545,0.259323175019383,"bounded",-0.450757134214774,0.0959565885573407,"[-0.450757, 0.095957]",4.15309261821115e-05,0.000283975994283781,1.15144191629314e-06,"Exploratory; valid-IV assumptions required",0.777969525058148
"A_2020","married_or_cohab","started_g6_private",TRUE,1160,571,589,1153,-0.00586068074060152,0.00657005198979836,0.0586684936446656,0.0169140431396911,12.0313679049797,-0.0998948562766517,0.116149198645,-0.327782323576726,0.127992611023423,0.389936769362494,0.37256319608007,"bounded",-0.431211066074776,0.130600766831856,"[-0.431211, 0.130601]",4.31655831486534e-05,0.000286084855331333,2.07340753256257e-06,"Exploratory; valid-IV assumptions required",1
"A_2020","has_child","started_g6_private",FALSE,1160,571,589,1158,-0.00950585604738362,0.009792723134451,0.0597200871791356,0.0168515872927087,12.5591207865251,-0.159173512571574,0.169387338350949,-0.491513957780782,0.173166932637634,0.347566732612015,0.331897360702808,"bounded",-0.63040440706107,0.178807817538496,"[-0.630404, 0.178808]",9.58974263880118e-05,0.000283975994283781,-2.39472292835927e-06,"Exploratory; valid-IV assumptions required",0.777969525058148
"A_2020","has_child","started_g6_private",TRUE,1160,571,589,1153,-0.00766329968245394,0.00970715046897395,0.0586684936446656,0.0169140431396911,12.0313679049797,-0.130620358669303,0.169476266572101,-0.463136791043766,0.20189607370516,0.441025180057136,0.430011968939319,"bounded",-0.59816116542678,0.217132882534082,"[-0.598161, 0.217133]",9.42287702273011e-05,0.000286084855331333,-9.50288821998124e-07,"Exploratory; valid-IV assumptions required",1
"A_2020","working","started_g6_private",FALSE,1161,571,590,1159,-0.0434355427587645,0.0220092307825283,0.0598236813203118,0.0168420872074309,12.6169518340872,-0.726059343058464,0.413065648700769,-1.53649947984612,0.0843807937291942,0.0790568209504644,0.0486741788454802,"bounded",-2.03569054330461,-0.00433116450441826,"[-2.035691, -0.004331]",0.000484406239638592,0.000283655901502706,-1.60455581041101e-05,"Exploratory; valid-IV assumptions required",0.194696715381921
"A_2020","working","started_g6_private",TRUE,1161,571,590,1154,-0.0378790478015577,0.0208120635527233,0.0587127040398519,0.0168959110640824,12.0753835812894,-0.645159312980149,0.395288118152205,-1.42072321805832,0.130404592098026,0.102926141866493,0.0690099676372553,"bounded",-1.91208040742619,0.0517969842108459,"[-1.912080, 0.051797]",0.000433141989322594,0.000285471810685383,-1.03328375303385e-05,"Exploratory; valid-IV assumptions required",0.276039870549021
"A_2020","hours_worked","started_g6_private",FALSE,1161,571,590,1159,-1.51875983258624,0.663397973047024,0.0598236813203118,0.0168420872074309,12.6169518340872,-25.3872680361211,12.8634427194195,-50.6255087609959,-0.14902731124625,0.0486646690521193,0.0222373179559964,"bounded",-67.5484906953543,-3.64595583210433,"[-67.548491, -3.645956]",0.4400968706429,0.000283655901502706,-0.000605173313014502,"Exploratory; valid-IV assumptions required",0.111186589779982
"A_2020","hours_worked","started_g6_private",TRUE,1161,571,590,1154,-1.34453043256319,0.625760306840105,0.0587127040398519,0.0168959110640824,12.0753835812894,-22.9001619760278,12.2874914657456,-47.0084880985928,1.20816414653723,0.0626180750573107,0.0318709198402375,"bounded",-63.7366847436917,-2.006945844207,"[-63.736685, -2.006946]",0.391575961616622,0.000285471810685383,-0.000454547826456031,"Exploratory; valid-IV assumptions required",0.159354599201187
