"cohort","n","selected","control","selected_share","target_weight","age_pairs","mean_age_change","median_age_change","age_decreased","age_unchanged","age_outside_2_to_4","age_missing"
"A_2020",1176,593,583,0.504251700680272,0.726823238566131,1117,2.40465532676813,2,1,1,16,59
"A_2022",277,146,131,0.527075812274368,0.171199011124845,271,0.664206642066421,1,10,85,252,6
"B_2018",165,91,74,0.551515151515152,0.101977750309023,161,4.49068322981366,5,0,0,82,4
