"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome"
-0.127404466574707,0.0875091629925905,-0.299048150770735,0.0442392176213217,0.145615379918602,1618,1612,5.08391107764048,4.95650661106577,788,830,"survey_month"
0.00459994748909568,0.0177948760009769,-0.030303575435444,0.0395034704136354,0.796055261670174,1618,1612,0.436493818470169,0.441093765959265,788,830,"survey_form"
-2.42625967838625e-06,0.0116169158798301,-0.0227882714491497,0.0227834189297929,0.999833383064976,1618,1612,0.120539830602584,0.120537404342906,788,830,"household_visit"
0.218967295865419,0.145496971557092,-0.0664425924736259,0.504377184204465,0.132554424016168,1439,1433,5.73783533848348,5.9568026343489,683,756,"mother_educ"
-0.0123078714042599,0.170408976972856,-0.346656449635715,0.322040706827195,0.942435064942665,1152,1146,5.76471064849709,5.75240277709283,551,601,"father_educ"
