"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","holm_p","label","unit"
0.017319793867614,0.0176652613433002,-0.0173296769909789,0.0519692647262069,0.32701528719769,1607,1601,0.841726903597255,0.859046697464869,782,825,"in_school_now",0.32701528719769,"Currently enrolled","proportion"
0.16192912114936,0.023762217026437,0.11532064104298,0.20853760125574,1.3364099698499e-11,1600,1594,0.543963492557193,0.705892613706555,777,823,"in_private_now",5.3456398793996e-11,"Currently in private school","proportion"
0.127899572804947,0.0450843746854044,0.0394694255376015,0.216329720072293,0.00461244815271554,1618,1612,7.33926911419564,7.4671686870006,788,830,"highest_grade",0.0138373444581466,"Highest grade completed","grades"
-0.0551323480855048,0.0221366363388263,-0.0985521218143812,-0.0117125743566284,0.012855144306631,1610,1604,0.220087048285816,0.16495470020031,782,828,"total_repeats",0.0257102886132621,"Total grade repetitions","grades"
