"estimate","se","ci_low","ci_high","p_value","n","df","outcome","sex","subgroup_n","control_mean","holm_interaction_p"
0.0484321389869071,0.0238640848013156,0.00162387229277013,0.0952404056810441,0.042573220160069,1607,1595,"in_school_now","Girls",815,0.838882961960767,
-0.0111208136958137,0.0264141201994831,-0.062930853472417,0.0406892260807896,0.673798837055012,1607,1595,"in_school_now","Boys",792,0.841246275296633,
-0.0595529526827208,0.0355977568017583,-0.129376258623951,0.0102703532585097,0.0945349819403405,1607,1595,"in_school_now","Boys minus girls",1607,,0.378139927761362
0.190311944817516,0.03294603300158,0.125689652596628,0.254934237038403,9.16127038797528e-09,1600,1588,"in_private_now","Girls",810,0.542230526457066,
0.128350409440431,0.0345137981099809,0.0606530102722541,0.196047808608609,0.000207118444061672,1600,1588,"in_private_now","Boys",790,0.549697336336773,
-0.0619615353770843,0.0477141839552739,-0.155550949874758,0.0316278791205893,0.194270527814212,1600,1588,"in_private_now","Boys minus girls",1600,,0.582811583442635
0.176911036414097,0.0573682298412974,0.0643865689045381,0.289435503923656,0.00207870257598939,1618,1606,"highest_grade","Girls",818,7.39792929272212,
0.0744733593292732,0.0705117739853377,-0.0638314104501642,0.212778129108711,0.291043321844195,1618,1606,"highest_grade","Boys",800,7.282405215824,
-0.102437677084824,0.0909011774713797,-0.280735083493478,0.0758597293238309,0.259947805778709,1618,1606,"highest_grade","Boys minus girls",1618,,0.582811583442635
-0.0431219179204208,0.0277372642908543,-0.0975271643026797,0.0112833284618381,0.120225916737877,1610,1598,"total_repeats","Girls",816,0.181887884133853,
-0.070080119072505,0.0348271587117678,-0.138391836141608,-0.00176840200340231,0.0443636318383267,1610,1598,"total_repeats","Boys",794,0.262340741817947,
-0.0269582011520842,0.0445228796718649,-0.114287586371742,0.0603711840675738,0.544938810298735,1610,1598,"total_repeats","Boys minus girls",1610,,0.582811583442635
