"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","holm_p"
0.524050149882553,0.0187735329338041,0.487226915331436,0.56087338443367,4.27970630214534e-140,1610,1604,0.0508887509533633,0.574938900835916,782,828,"receiving_aid_now",5.1356475625744e-139
0.0669929132650844,0.0158136073617656,0.035975260185368,0.0980105663448008,2.40116026012129e-05,1600,1594,0.844850590602527,0.911843503867613,774,826,"started_g6_private",0.000240116026012129
0.171878301145756,0.0215007359977314,0.129705610571141,0.214050991720372,2.48447516191055e-15,1600,1594,0.65485861365522,0.826736914800974,774,826,"started_g7_private",2.73292267810161e-14
0.0200936139869786,0.011881615362998,-0.00321150982219118,0.0433987377961485,0.0910020975930098,1610,1604,0.929626056747982,0.949719670734961,782,828,"finished_g6",0.44971581399612
0.0203424147313773,0.0166521287900114,-0.0123198042751413,0.0530046337378958,0.222034479512359,1610,1604,0.725043742206331,0.745386156937709,782,828,"finished_g7",0.44971581399612
0.0780335059213481,0.0207407750096802,0.0373516360971454,0.118715375745551,0.000174397952620804,1610,1604,0.541189379527387,0.619222885448735,782,828,"finished_g8",0.00156958157358723
-0.0519086405185313,0.0188066769472654,-0.0887968851977877,-0.015020395839275,0.00584380429420904,1610,1604,0.198746815029124,0.146838174510593,782,828,"ever_repeated",0.0467504343536723
0.0798382398252475,0.0470543897479669,-0.012456313174371,0.172132792824866,0.089943162799224,1610,1604,3.4991245258766,3.57896276570185,782,828,"years_in_school",0.44971581399612
-0.0096718383404313,0.00573585612411385,-0.0209224151509997,0.00157873847013714,0.0919508557196323,1607,1601,0.0180871073424997,0.00841526900206852,780,827,"married_or_cohab",0.44971581399612
-0.0101695680864628,0.0080628668587715,-0.0259844602033777,0.00564532403045203,0.207390267396294,1606,1600,0.0319193835089832,0.0217498154225203,779,827,"has_child",0.44971581399612
-0.0341196039745999,0.0182698869096459,-0.0699549650261628,0.00171575707696298,0.0620095455180456,1610,1604,0.178814750379957,0.144695146405359,782,828,"working",0.372057273108274
-1.14080641270152,0.541238344414567,-2.20241514530981,-0.0791976800932177,0.0352056245779612,1610,1604,4.49412528603917,3.35331887333767,782,828,"hours_worked",0.246439372045728
