"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","specification"
0.017319793867614,0.017697339057354,-0.0173925957215154,0.0520321834567435,0.327892618725536,1607,1601,0.841726903597255,0.859046697464869,782,825,"in_school_now","Primary point estimate, HC3 standard errors"
0.0188041346875995,0.0176738715631015,-0.0158624061056029,0.0534706754808019,0.287512413941212,1596,1590,0.841214142292458,0.860018276980059,777,819,"in_school_now","Exclude 11 declining-age records"
0.017005713577952,0.0176117559800296,-0.0175389901640549,0.0515504173199588,0.334396840604709,1596,1590,0.844548543214368,0.861554256792321,777,819,"in_school_now","Exclude any primary schooling contradiction"
0.0173912543970028,0.0176702330130592,-0.0172679845160477,0.0520504933100533,0.325160116576212,1606,1600,0.841655443067865,0.859046697464869,781,825,"in_school_now","Exclude sole highest-grade-below-5 review record"
0.0207641730923474,0.02169600715655,-0.0218033680673642,0.063331714252059,0.338740016497781,1169,1167,0.825259515570934,0.846023688663283,578,591,"in_school_now","A2020 only, closest to stated followup horizon"
0.0173761637533532,0.0176439545466174,-0.0172314822893348,0.0519838097960411,0.32485987516395,1607,1603,,,782,825,"in_school_now","Ordinary cohort fixed effects"
-0.000218905439214108,0.0167183236176884,-0.0330111956554328,0.0325733847770045,0.989554646531825,1607,1589,,,782,825,"in_school_now","Baseline-adjusted, assignment-interacted covariates"
0.16192912114936,0.0238071735773359,0.115232460865773,0.208625781432947,1.45773472273632e-11,1600,1594,0.543963492557193,0.705892613706555,777,823,"in_private_now","Primary point estimate, HC3 standard errors"
0.162894963748568,0.0238415057601479,0.116130715561096,0.209659211936039,1.18720336541709e-11,1589,1583,0.542853249898985,0.705748213647556,772,817,"in_private_now","Exclude 11 declining-age records"
0.16283977751551,0.0238349042222192,0.116088500588735,0.209591054442285,1.19035001718746e-11,1590,1584,0.5446178618077,0.707457639323209,772,818,"in_private_now","Exclude any primary schooling contradiction"
0.16238851026687,0.023774610549283,0.115755698599149,0.209021321934591,1.2014228246565e-11,1599,1593,0.543504103439684,0.705892613706555,776,823,"in_private_now","Exclude sole highest-grade-below-5 review record"
0.159088354482796,0.0281677241212135,0.103823015541512,0.214353693424081,2.04131617559389e-08,1163,1161,0.537521815008726,0.696610169491525,573,590,"in_private_now","A2020 only, closest to stated followup horizon"
0.161894056256209,0.0237442277089634,0.115320905705313,0.208467206807105,1.30296393129405e-11,1600,1596,,,777,823,"in_private_now","Ordinary cohort fixed effects"
0.148398146748193,0.0233634785371143,0.102571509443039,0.194224784053348,2.77643761218608e-10,1600,1582,,,777,823,"in_private_now","Baseline-adjusted, assignment-interacted covariates"
0.127899572804947,0.0451677257813037,0.0393059376388183,0.216493207971077,0.00468825089356434,1618,1612,7.33926911419564,7.4671686870006,788,830,"highest_grade","Primary point estimate, HC3 standard errors"
0.129520045817818,0.0451647774276562,0.0409317363157949,0.218108355319842,0.00418852605503368,1607,1601,7.33764864118278,7.4671686870006,783,824,"highest_grade","Exclude 11 declining-age records"
0.125887465318149,0.0442283055238633,0.039135872447867,0.212639058188431,0.00447938519356756,1604,1598,7.32408861390128,7.44997607921943,783,821,"highest_grade","Exclude any primary schooling contradiction"
0.125195372335623,0.0450122058543509,0.0369067384833981,0.213484006187848,0.00547613615500382,1617,1611,7.34197331466497,7.4671686870006,787,830,"highest_grade","Exclude sole highest-grade-below-5 review record"
0.187661077348952,0.0552398440750401,0.0792812375256701,0.296040917172233,0.000703582866370604,1176,1174,7.47169811320755,7.65935919055649,583,593,"highest_grade","A2020 only, closest to stated followup horizon"
0.128119367417808,0.0451144093348154,0.039630391478112,0.216608343357503,0.00456967923088603,1618,1614,,,788,830,"highest_grade","Ordinary cohort fixed effects"
0.102717317506978,0.0439882705560787,0.0164366228806939,0.188998012133261,0.0196609163511487,1618,1600,,,788,830,"highest_grade","Baseline-adjusted, assignment-interacted covariates"
-0.0551323480855048,0.0221720301472447,-0.0986215447894624,-0.0116431513815472,0.0129991121523706,1610,1604,0.220087048285816,0.16495470020031,782,828,"total_repeats","Primary point estimate, HC3 standard errors"
-0.0564640916038905,0.0221607443145041,-0.0999313784346291,-0.0129968047731519,0.0109295416056319,1599,1593,0.219777157450948,0.163313065847058,777,822,"total_repeats","Exclude 11 declining-age records"
-0.057449853277864,0.0221900236298375,-0.100974632589483,-0.0139250739662452,0.00971347275034962,1596,1590,0.221596190147661,0.164146336869798,777,819,"total_repeats","Exclude any primary schooling contradiction"
-0.0552878704429942,0.0221444494317485,-0.0987229895779546,-0.0118527513080338,0.0126354858682878,1609,1603,0.220242570643305,0.16495470020031,781,828,"total_repeats","Exclude sole highest-grade-below-5 review record"
-0.0645451150632498,0.0275005142416892,-0.118500996629943,-0.0105892334965563,0.01908880556522,1171,1169,0.246977547495682,0.182432432432432,579,592,"total_repeats","A2020 only, closest to stated followup horizon"
-0.0551714897222262,0.0221477335804165,-0.0986129892172293,-0.0117299902272231,0.012836315544457,1610,1606,,,782,828,"total_repeats","Ordinary cohort fixed effects"
-0.0534640054051217,0.0221208936744565,-0.0968531477505106,-0.0100748630597327,0.0157650817639582,1610,1592,,,782,828,"total_repeats","Baseline-adjusted, assignment-interacted covariates"
