"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","cohort","missing_control","missing_selected","observed_control","observed_selected"
-0.00517472282402762,0.00381465989382918,-0.0126590348309891,0.00230958918293387,0.175189541810516,1176,1174,0.00686106346483705,0.00168634064080944,583,593,"years_in_school","A_2020",4,1,579,592
-0.00520364804942745,0.00450416061689918,-0.0140407513101595,0.00363345521130458,0.248203465238468,1176,1174,0.00857632933104631,0.00337268128161889,583,593,"married_or_cohab","A_2020",5,2,578,591
-0.00520364804942745,0.00450416061689918,-0.0140407513101595,0.00363345521130458,0.248203465238468,1176,1174,0.00857632933104631,0.00337268128161889,583,593,"has_child","A_2020",5,2,578,591
-0.00517472282402762,0.00381465989382918,-0.0126590348309891,0.00230958918293387,0.175189541810516,1176,1174,0.00686106346483705,0.00168634064080944,583,593,"working","A_2020",4,1,579,592
-0.00517472282402762,0.00381465989382918,-0.0126590348309891,0.00230958918293387,0.175189541810516,1176,1174,0.00686106346483705,0.00168634064080944,583,593,"hours_worked","A_2020",4,1,579,592
-0.00520364804942745,0.00450416061689919,-0.0140407513101595,0.00363345521130461,0.24820346523847,1176,1174,0.00857632933104631,0.00337268128161889,583,593,"in_school_now","A_2020",5,2,578,591
-0.0120936367396642,0.0061211774041485,-0.0241033054434769,-8.39680358514176e-05,0.0484221421897849,1176,1174,0.0171526586620926,0.00505902192242833,583,593,"in_private_now","A_2020",10,3,573,590
0,0,0,0,1,1176,1174,0,0,583,593,"highest_grade","A_2020",0,0,583,593
-0.00517472282402762,0.00381465989382918,-0.0126590348309891,0.00230958918293387,0.175189541810516,1176,1174,0.00686106346483705,0.00168634064080944,583,593,"total_repeats","A_2020",4,1,579,592
-0.0152671755725192,0.0107539219759966,-0.0364376460953855,0.00590329495034717,0.15683214942682,277,275,0.0152671755725191,0,131,146,"years_in_school","A_2022",2,0,129,146
-0.0229007633587787,0.0131196618144629,-0.0487284952628241,0.0029269685452667,0.0820095092271723,277,275,0.0229007633587786,0,131,146,"married_or_cohab","A_2022",3,0,128,146
-0.0305343511450384,0.0150899876497859,-0.0602409214031514,-0.000827780886925367,0.043990351939617,277,275,0.0305343511450382,0,131,146,"has_child","A_2022",4,0,127,146
-0.0152671755725192,0.0107539219759966,-0.0364376460953855,0.00590329495034717,0.15683214942682,277,275,0.0152671755725191,0,131,146,"working","A_2022",2,0,129,146
-0.0152671755725192,0.0107539219759966,-0.0364376460953855,0.00590329495034717,0.15683214942682,277,275,0.0152671755725191,0,131,146,"hours_worked","A_2022",2,0,129,146
-0.00763358778625964,0.00763358778625953,-0.0226612814568512,0.00739410588433194,0.318189601019021,277,275,0.00763358778625954,0,131,146,"in_school_now","A_2022",1,0,130,146
-0.000784272717766381,0.0102559631141116,-0.0209744475465905,0.0194059021110577,0.939100844623928,277,275,0.00763358778625954,0.00684931506849315,131,146,"in_private_now","A_2022",1,1,130,145
0,0,0,0,1,277,275,0,0,131,146,"highest_grade","A_2022",0,0,131,146
-0.0152671755725192,0.0107539219759966,-0.0364376460953855,0.00590329495034717,0.15683214942682,277,275,0.0152671755725191,0,131,146,"total_repeats","A_2022",2,0,129,146
0.010989010989011,0.010989010989011,-0.0107101606699599,0.032688182647982,0.31879271169654,165,163,0,0.010989010989011,74,91,"years_in_school","B_2018",0,1,74,90
0.010989010989011,0.010989010989011,-0.0107101606699599,0.032688182647982,0.31879271169654,165,163,0,0.010989010989011,74,91,"married_or_cohab","B_2018",0,1,74,90
0.010989010989011,0.010989010989011,-0.0107101606699599,0.032688182647982,0.31879271169654,165,163,0,0.010989010989011,74,91,"has_child","B_2018",0,1,74,90
0.010989010989011,0.010989010989011,-0.0107101606699599,0.032688182647982,0.31879271169654,165,163,0,0.010989010989011,74,91,"working","B_2018",0,1,74,90
0.010989010989011,0.010989010989011,-0.0107101606699599,0.032688182647982,0.31879271169654,165,163,0,0.010989010989011,74,91,"hours_worked","B_2018",0,1,74,90
0.032967032967033,0.0188208535951137,-0.00419708792948178,0.0701311538635478,0.0817195124208044,165,163,0,0.032967032967033,74,91,"in_school_now","B_2018",0,3,74,88
0.032967032967033,0.0188208535951137,-0.00419708792948178,0.0701311538635478,0.0817195124208044,165,163,0,0.032967032967033,74,91,"in_private_now","B_2018",0,3,74,88
0,0,0,0,1,165,163,0,0,74,91,"highest_grade","B_2018",0,0,74,91
0.010989010989011,0.010989010989011,-0.0107101606699599,0.032688182647982,0.31879271169654,165,163,0,0.010989010989011,74,91,"total_repeats","B_2018",0,1,74,90
