"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","inference_status","cohort","standardized_difference"
0.0016718780281104,0.0291862722858887,-0.0555912002507904,0.0589349563070112,0.954329488203887,1176,1174,0.500857632933105,0.502529510961214,583,593,"male","HC2/t approximation","A_2020",0.00334093514408602
-0.0622966507177,0.0763236873904853,-0.212050452006155,0.0874571505707556,0.414550208395557,1120,1118,12.6254545454545,12.5631578947368,550,570,"age_at_application","HC2/t approximation","A_2020",-0.0487987624532859
1.14032956750929e-15,,,,,1176,1174,1,1,583,593,"has_phone","Not reported: no observed outcome variation","A_2020",
0.0202102684495253,0.0385359220257763,-0.0554113903550844,0.0958319272541349,0.600081350051617,990,988,1.98969072164948,2.00990099009901,485,505,"ses_stratum","HC2/t approximation","A_2020",0.0333222151859378
-0.0178179388462886,0.0124389592221679,-0.042223011500649,0.00658713380807174,0.152286987734775,1176,1174,0.0566037735849057,0.0387858347386172,583,593,"age_at_application_missing","HC2/t approximation","A_2020",-0.0836071543863865
-0.0196980784972766,0.0213013502547375,-0.0614910445580048,0.0220948875634516,0.355294426762014,1176,1174,0.168096054888508,0.148397976391231,583,593,"ses_stratum_missing","HC2/t approximation","A_2020",-0.0539451194650375
-0.0397519372669716,0.0248165685445854,-0.0884417148878491,0.008937840353906,0.109462102652732,1176,1174,0.257289879931389,0.217537942664418,583,593,"neighborhood_missing","HC2/t approximation","A_2020",-0.0934469857254272
-0.0404161873888947,0.0603359736440989,-0.159195266719388,0.0783628919415986,0.503514042152974,277,275,0.526717557251908,0.486301369863014,131,146,"male","HC2/t approximation","A_2022",-0.0806118844501881
-0.200804522722324,0.170834723688174,-0.537142051267692,0.135533005823043,0.240857581369479,272,270,12.515873015873,12.3150684931507,126,146,"age_at_application","HC2/t approximation","A_2022",-0.143734303187394
2.66125348881593e-16,,,,,277,275,1,1,131,146,"has_phone","Not reported: no observed outcome variation","A_2022",
0.0406063023534118,0.0811594621353815,-0.11933524987701,0.200547854583833,0.617340180455998,224,222,2.05504587155963,2.09565217391304,109,115,"ses_stratum","HC2/t approximation","A_2022",0.0669261274242321
-0.0381679389312979,0.0168045660848552,-0.0712498760834425,-0.00508600177915332,0.0239028092555535,277,275,0.0381679389312977,0,131,146,"age_at_application_missing","HC2/t approximation","A_2022",-0.280640765151079
0.044389835825578,0.04720491128708,-0.0485390681750515,0.137318739826207,0.347855745823526,277,275,0.16793893129771,0.212328767123288,131,146,"ses_stratum_missing","HC2/t approximation","A_2022",0.11289441696645
2.66125348881593e-16,,,,,277,275,1,1,131,146,"neighborhood_missing","Not reported: no observed outcome variation","A_2022",
0.107662607662608,0.0770966388070182,-0.0445743135194808,0.259899528844696,0.164473783917654,165,163,0.364864864864865,0.472527472527473,74,91,"male","HC2/t approximation","B_2018",0.218196447438896
-0.627777777777781,0.22817769072326,-1.07840625514453,-0.177149300411035,0.0066214609131341,162,160,12.75,12.1222222222222,72,90,"age_at_application","HC2/t approximation","B_2018",-0.435683493445523
0.165132165132165,0.0767901403685622,0.0135004633129395,0.316763866951391,0.032994736641594,165,163,0.351351351351351,0.516483516483517,74,91,"has_phone","HC2/t approximation","B_2018",0.335842450512793
0.125000000000001,0.109888297296222,-0.092517146707174,0.342517146707175,0.257532521970025,125,123,1.875,2,56,69,"ses_stratum","HC2/t approximation","B_2018",0.204361064546356
-0.016038016038016,0.0219313771909262,-0.0593442534109189,0.0272682213348868,0.465657031966674,165,163,0.027027027027027,0.010989010989011,74,91,"age_at_application_missing","HC2/t approximation","B_2018",-0.116898072009625
-0.00148500148500139,0.0675157733318561,-0.134803309809668,0.131833306839666,0.98247893983781,165,163,0.243243243243243,0.241758241758242,74,91,"ses_stratum_missing","HC2/t approximation","B_2018",-0.00344351680686603
2.11863715576288e-17,,,,,165,163,1,1,74,91,"neighborhood_missing","Not reported: no observed outcome variation","B_2018",
