"cohort","outcome","exposure","baseline_adjusted","estimate","ar_p_zero","ar_type","ar_low","ar_high","ar_set","reduced_form","first_stage","first_stage_se","first_stage_F","first_stage_p","n","n_control","n_treatment","df","holm_ar_p","specification"
"A_2020","years_in_school","in_private_now",TRUE,0.340431084411275,0.305270149672679,"bounded",-0.372836538874101,0.934483007630962,"[-0.372837, 0.934483]",0.0538643623860654,0.158223983803406,0.0273915269038791,33.3666146714611,9.84538705680606e-09,1162,572,590,1136,0.438286016862648,"Additive baseline controls plus SES and neighborhood fixed effects"
"A_2020","married_or_cohab","in_private_now",TRUE,-0.0640523835183743,0.109571504215662,"bounded",-0.153527798399178,0.015105872914842,"[-0.153528, 0.015106]",-0.0102195800496748,0.159550347517406,0.0273809920946076,33.9544851146365,7.34285329881244e-09,1161,572,589,1135,0.438286016862648,"Additive baseline controls plus SES and neighborhood fixed effects"
"A_2020","has_child","in_private_now",TRUE,-0.0775557762612731,0.192857885269734,"bounded",-0.203374488599323,0.0422846871844851,"[-0.203374, 0.042285]",-0.0123740510544683,0.159550347517406,0.0273809920946076,33.9544851146365,7.34285329881244e-09,1161,572,589,1135,0.438286016862648,"Additive baseline controls plus SES and neighborhood fixed effects"
"A_2020","working","in_private_now",TRUE,-0.192190655166337,0.144339199981435,"bounded",-0.461108484194841,0.0727997570908452,"[-0.461108, 0.072800]",-0.0304091711102044,0.158223983803406,0.0273915269038791,33.3666146714611,9.84538705680606e-09,1162,572,590,1136,0.438286016862648,"Additive baseline controls plus SES and neighborhood fixed effects"
"A_2020","hours_worked","in_private_now",TRUE,-7.58387137920452,0.0571322974893457,"bounded",-15.9122331299527,0.251904266200025,"[-15.912233, 0.251904]",-1.19995034227037,0.158223983803406,0.0273915269038791,33.3666146714611,9.84538705680606e-09,1162,572,590,1136,0.285661487446728,"Additive baseline controls plus SES and neighborhood fixed effects"
