"cohort","n","n_selected","n_control","mahalanobis_statistic","permutations","p_value","monte_carlo_se"
"A_2020",1176,593,583,3.65452467030634,9999,0.6038,0.00489106900380684
"A_2022",277,146,131,8.55738824238803,9999,0.1162,0.00320464600229105
"B_2018",165,91,74,15.1732934066747,9999,0.0152,0.00122347701245262
