"cohort","outcome","exposure","baseline_adjusted","estimate","ar_p_zero","ar_type","ar_low","ar_high","ar_set","reduced_form","first_stage","first_stage_se","first_stage_F","first_stage_p","n","n_control","n_treatment","df","holm_ar_p"
"A_2020","years_in_school","in_private_now",FALSE,0.496719914013586,0.145750207109403,"bounded",-0.209108342977094,1.09445054431313,"[-0.209108, 1.094451]",0.0794239658646485,0.159896882778241,0.0281830963825552,32.1886366543815,1.76574128575154e-08,1162,572,590,1160,0.292428511912728
"A_2020","married_or_cohab","in_private_now",FALSE,-0.0663730674970977,0.0974761706375761,"bounded",-0.155096267265924,0.0128599413771694,"[-0.155096, 0.012860]",-0.0106913460054376,0.161079582556661,0.0281798484430081,32.674103829598,1.38508736860552e-08,1161,572,589,1159,0.292428511912728
"A_2020","has_child","in_private_now",FALSE,-0.0908990399675725,0.140691356460855,"bounded",-0.221378528973896,0.0326290119482748,"[-0.221379, 0.032629]",-0.0146419794127778,0.161079582556661,0.0281798484430081,32.674103829598,1.38508736860552e-08,1161,572,589,1159,0.292428511912728
"A_2020","working","in_private_now",FALSE,-0.248026388940371,0.0716105997855341,"bounded",-0.529326918996178,0.0242694052900468,"[-0.529327, 0.024269]",-0.039658646438309,0.159896882778241,0.0281830963825552,32.1886366543815,1.76574128575154e-08,1162,572,590,1160,0.286442399142136
"A_2020","hours_worked","in_private_now",FALSE,-8.97650198287659,0.0316469485132519,"bounded",-17.6000737903091,-0.875431494969896,"[-17.600074, -0.875431]",-1.43531468531467,0.159896882778241,0.0281830963825552,32.1886366543815,1.76574128575154e-08,1162,572,590,1160,0.158234742566259
"A_2020","hours_worked","in_private_now",TRUE,-8.15706162766527,0.0506478390554903,"bounded",-17.0829341991377,0.025299694535346,"[-17.082934, 0.025300]",-1.22869363033778,0.150629440651836,0.0275624708071057,29.8664382237417,5.66694086044681e-08,1162,572,590,1155,
"A_2020","hours_worked","started_g6_private",FALSE,-25.3872680361211,0.0222373179559964,"bounded",-67.5484906953543,-3.64595583210433,"[-67.548491, -3.645956]",-1.51875983258624,0.0598236813203118,0.0168420872074309,12.6169518340872,0.000397615804454359,1161,571,590,1159,
"A_2020","hours_worked","started_g7_private",FALSE,-9.04000070672601,0.0222373179559964,"bounded",-17.3130147393469,-1.36601252480971,"[-17.313015, -1.366013]",-1.51875983258624,0.168004393125351,0.024589333105209,46.681819586058,1.3458737816442e-11,1161,571,590,1159,
