effect,se,low,high,p,control_mean,treatment_mean,n,missing,outcome,sensitivity
0.018804134687601226,0.017673871563101524,-0.015836017043463435,0.05344428641866589,0.28735086268293697,0.8412141422924574,0.8600182769800586,1596,11,in_school_now,exclude_negative_age
0.16289496374857093,0.0238415057601481,0.1161664711214777,0.20962345637566415,8.349927053376805e-12,0.5428532498989856,0.7057482136475566,1589,18,in_private_now,exclude_negative_age
0.1295200458178165,0.04516477742765643,0.04099870868984476,0.21804138294578826,0.004134380588514083,7.337648641182776,7.467168687000592,1607,0,highest_grade,exclude_negative_age
-0.05646409160388999,0.022160744314504065,-0.09989835233091753,-0.01302983087686245,0.010836328273585813,0.21977715745094842,0.16331306584705843,1599,8,total_repeats,exclude_negative_age
0.01700571357795344,0.017611755980029526,-0.0175126938474114,0.05152412100331828,0.33425000305126085,0.8445485432143681,0.8615542567923216,1596,8,in_school_now,exclude_grade_conflicts
0.16283977751550938,0.0238349042222191,0.11612422366499955,0.2095553313660192,8.37459088418392e-12,0.5446178618076997,0.707457639323209,1590,14,in_private_now,exclude_grade_conflicts
0.12588746531814987,0.04422830552386329,0.039201579394146285,0.21257335124215346,0.004422912388309801,7.324088613901282,7.449976079219432,1604,0,highest_grade,exclude_grade_conflicts
-0.057449853277862784,0.022190023629837442,-0.10094150040843573,-0.013958206147289834,0.009625657964011524,0.22159619014766058,0.1641463368697978,1596,8,total_repeats,exclude_grade_conflicts
0.02275923613338371,0.021021511106390105,-0.01844216853574851,0.06396064080251593,0.2789575288237634,0.8469266344922576,0.8696858706256413,1258,10,in_school_now,exclude_age_delta_outside_2_4
0.19400695960015002,0.03184328544365647,0.1315952669811565,0.25641865221914356,1.1112282865013562e-09,0.5422442882773779,0.7362512478775279,1251,17,in_private_now,exclude_age_delta_outside_2_4
0.21674678412328063,0.08997919460716007,0.0403908033353311,0.3931027649112302,0.016002678201496645,7.3726858707545855,7.589432654877866,1268,0,highest_grade,exclude_age_delta_outside_2_4
-0.08445137615488893,0.025574557156528396,-0.1345765871022443,-0.03432616520753356,0.0009594203449523784,0.21739169500373684,0.1329403188488479,1261,7,total_repeats,exclude_age_delta_outside_2_4
