effect,se,low,high,p,outcome,cohort,control_mean,treatment_mean,n
0.020764173092348348,0.021696007156550092,-0.02175921954281193,0.06328756572750863,0.3385417990353435,in_school_now,A2020,0.8252595155709342,0.8460236886632826,1169
0.019599578503688098,0.024960585367757557,-0.029322269850152828,0.06852142685752902,0.43232394154126363,in_school_now,A2022,0.9461538461538461,0.9657534246575342,276
-0.011056511056511065,0.06587929349323002,-0.14017755363018228,0.11806453151716015,0.8667171492694739,in_school_now,B2018,0.7837837837837838,0.7727272727272727,162
0.15908835448279945,0.028167724121213593,0.10388062967876219,0.21429607928683672,1.6242411521329363e-08,in_private_now,A2020,0.537521815008726,0.6966101694915254,1163
0.15994694960212197,0.05297948038871144,0.0561090761206043,0.26378482308363965,0.0025358053866097116,in_private_now,A2022,0.6538461538461539,0.8137931034482758,275
0.1855036855036855,0.07797852078351532,0.03266859320029161,0.33833877780707944,0.017364034097823982,in_private_now,B2018,0.40540540540540543,0.5909090909090909,162
0.18766107734894533,0.055239844075040484,0.07939297245026067,0.29592918224763,0.0006807793315034823,highest_grade,A2020,7.471698113207547,7.659359190556493,1176
-0.05343511450381655,0.059538271372243226,-0.1701279820951822,0.0632577530875491,0.36945650976099775,highest_grade,A2022,6.0534351145038165,6.0,277
0.006385506385505835,0.1745134988199179,-0.33565466611759703,0.3484256788886087,0.9708116544853798,highest_grade,B2018,8.554054054054054,8.56043956043956,165
-0.06454511506324978,0.027500514241689103,-0.11844513253328978,-0.010645097593209786,0.018922654128101554,total_repeats,A2020,0.2469775474956822,0.18243243243243243,1171
-0.006690028671551454,0.04080080889291599,-0.08665814464176615,0.07327808729866324,0.8697563034993974,total_repeats,A2022,0.11627906976744186,0.1095890410958904,275
-0.06936936936936938,0.06333756833573256,-0.19350872217574633,0.05476998343700755,0.27341474888063927,total_repeats,B2018,0.20270270270270271,0.13333333333333333,164
0.5072322970639033,0.022510808793736257,0.46311192256531386,0.5513526715624927,1.9788627150014338e-112,receiving_aid_now,A2020,0.055267702936096716,0.5625,1171
0.6589678241478178,0.04218322098787084,0.5762902302596992,0.7416454180359365,5.191756544045161e-55,receiving_aid_now,A2022,0.046511627906976744,0.7054794520547946,275
0.4174174174174174,0.055986934488225316,0.30768504221569537,0.5271497926191394,8.944488140308272e-14,receiving_aid_now,B2018,0.02702702702702703,0.4444444444444444,164
0.059612421476828215,0.016824055523459402,0.02663787857694653,0.09258696437670991,0.0003951755733290324,started_g6_private,A2020,0.8793706293706294,0.9389830508474576,1162
-0.02160985451842412,0.03919885820295652,-0.09843820483130926,0.05521849579446102,0.5814363615969163,started_g6_private,A2022,0.8914728682170543,0.8698630136986302,275
0.26834094368340944,0.07305908638693438,0.12514776562162144,0.41153412174519743,0.00023978475429926294,started_g6_private,B2018,0.5205479452054794,0.7888888888888889,163
0.16744103354272843,0.02456853580319992,0.11928758821557507,0.2155944788698818,9.409145737767439e-12,started_g7_private,A2020,0.6783216783216783,0.8457627118644068,1162
0.16480832536901346,0.05349224109845739,0.059965459363706564,0.26965119137432036,0.00206323092511021,started_g7_private,A2022,0.6434108527131783,0.8082191780821918,275
0.21537290715372903,0.07566833840594134,0.06706568910809912,0.36368012519935894,0.004423396321473297,started_g7_private,B2018,0.5068493150684932,0.7222222222222222,163
0.03023327731876957,0.013207976425420282,0.004346119216292445,0.056120435421246694,0.022078387782155536,finished_g6,A2020,0.9309153713298791,0.9611486486486487,1171
-0.011521716045449715,0.03343757367062046,-0.07705815617026879,0.05401472407936936,0.730414710421742,finished_g6,A2022,0.9224806201550387,0.910958904109589,275
0.0009009009009008917,0.0395242939206581,-0.07656529169796226,0.07836709349976405,0.9818149140684124,finished_g6,B2018,0.9324324324324325,0.9333333333333333,164
0.04241644494235164,0.020343871257298547,0.0025431899719279977,0.08228969991277528,0.037071650356300605,finished_g7,A2020,0.8376511226252159,0.8800675675675675,1171
-0.07789104810449188,0.036564057404912864,-0.14955528374677418,-0.0062268124622095605,0.03314993014402839,finished_g7,A2022,0.13953488372093023,0.06164383561643835,275
0.027927927927927976,0.04327083582556656,-0.05688135187112564,0.11273720772698159,0.5186540718140531,finished_g7,B2018,0.9054054054054054,0.9333333333333333,164
0.11127059702189235,0.027088415672342797,0.058178277905851575,0.16436291613793313,3.996498596166331e-05,finished_g8,A2020,0.6252158894645942,0.7364864864864865,1171
0.005946692152490177,0.012380294780652942,-0.01831823973557813,0.030211624040558483,0.6309890182408608,finished_g8,A2022,0.007751937984496124,0.0136986301369863,275
-0.037837837837837784,0.06048905146956881,-0.15639420017717903,0.08071852450150345,0.5316219475273105,finished_g8,B2018,0.8378378378378378,0.8,164
-0.06038469530113688,0.024288781946688494,-0.10798983314499168,-0.012779557457282084,0.012914637140710108,repeats_g6,A2020,0.19089316987740806,0.13050847457627118,1161
-0.006635273972602745,0.03989642496048505,-0.08483083000705614,0.07156028206185065,0.8679110334798208,repeats_g6,A2022,0.109375,0.10273972602739725,274
-0.045509893455098926,0.04803287170475114,-0.1396525920704416,0.048632805160243736,0.3433973373479965,repeats_g6,B2018,0.1232876712328767,0.07777777777777778,163
-0.05376522895952948,0.022943064177196524,-0.09873280844182453,-0.008797649477234444,0.01910787406370583,ever_repeated,A2020,0.21761658031088082,0.16385135135135134,1171
-0.020388658808537755,0.03742590542238293,-0.0937420855252086,0.05296476790813309,0.5859089883128643,ever_repeated,A2022,0.11627906976744186,0.0958904109589041,275
-0.09159159159159161,0.057650834424670144,-0.2045851507426239,0.021401967559440696,0.1121214356802855,ever_repeated,B2018,0.20270270270270271,0.1111111111111111,164
0.0930687812164499,0.054717908830443716,-0.014176349400563018,0.2003139118334628,0.08896488981669946,years_in_school,A2020,3.6079447322970637,3.7010135135135136,1171
0.02883083784644791,0.05437139683303936,-0.07773514173544147,0.13539681742833728,0.5959334487469838,years_in_school,A2022,2.046511627906977,2.0753424657534247,275
0.07117117117117111,0.22909232595927242,-0.37784153684350097,0.5201838791858432,0.7560546313478462,years_in_school,B2018,5.162162162162162,5.233333333333333,164
-0.008840801175650913,0.006609370286653775,-0.02179492889798113,0.004113326546679303,0.18102156062327304,married_or_cohab,A2020,0.01730103806228374,0.008460236886632826,1169
0.0,0.0,0.0,0.0,,married_or_cohab,A2022,0.0,0.0,274
-0.03183183183183183,0.030734029159250203,-0.09206942208376441,0.02840575842010075,0.3003330448601683,married_or_cohab,B2018,0.05405405405405406,0.022222222222222223,164
-0.012643516648223937,0.009993938711739718,-0.032231276586933866,0.006944243290485996,0.20582885580887242,has_child,A2020,0.03633217993079585,0.023688663282571912,1169
0.0,0.0,0.0,0.0,,has_child,A2022,0.0,0.0,273
-0.009609609609609611,0.03431650592872884,-0.07686872530517153,0.05764950608595231,0.779455417433295,has_child,B2018,0.05405405405405406,0.044444444444444446,164
-0.0413340801941838,0.02191750018653604,-0.08429159119094318,0.0016234308025755706,0.05930925192534395,working,A2020,0.18998272884283246,0.14864864864864866,1171
-0.024530105129021984,0.0331534727959999,-0.08950971777160845,0.04044950751356448,0.4593634088408582,working,A2022,0.09302325581395349,0.0684931506849315,275
0.0012012012012011797,0.06779950146460337,-0.1316833798391884,0.13408578224159076,0.9858646489331319,working,B2018,0.24324324324324326,0.24444444444444444,164
-1.46346508425524,0.6630406072544758,-2.7630007947615436,-0.16392937374893624,0.027299894312410394,hours_worked,A2020,4.951640759930916,3.488175675675676,1171
