effect,se,low,high,p,group,n,outcome
0.04843213898690435,0.02386408480131563,0.0016593922523173155,0.09520488572149138,0.04240747902629012,female,1607,in_school_now
-0.011120813695823628,0.026414120199483145,-0.06289153797012112,0.040649910578473857,0.6737421138686372,male,1607,in_school_now
-0.05955295268272798,0.03559775680175827,-0.129323273944588,0.010217368579132052,0.09433887923393339,male_minus_female,1607,in_school_now
0.19031194481751812,0.03294603300158001,0.125738906700955,0.25488498293408124,7.628170886554373e-09,female,1600,in_private_now
0.12835040944043324,0.03451379810998087,0.06070460817518601,0.19599621070568046,0.00020016004967196102,male,1600,in_private_now
-0.061961535377084875,0.04771418395527391,-0.15547961748113806,0.03155654672696831,0.19408198572332316,male_minus_female,1600,in_private_now
0.17691103641407802,0.05736822984129746,0.06447137206832211,0.28935070075983393,0.00204388238500555,female,1618,highest_grade
0.07447335932924237,0.07051177398533763,-0.06372717816804388,0.21267389682652862,0.2908844712189172,male,1618,highest_grade
-0.10243767708483564,0.0909011774713797,-0.2806007110810187,0.07572535691134741,0.2597794595452973,male_minus_female,1618,highest_grade
-0.04312191792042091,0.02773726429085425,-0.09748595696016267,0.011242121119320853,0.12002790244149325,female,1610,total_repeats
-0.0700801190725063,0.034827158711767794,-0.1383400958314297,-0.0018201423135829203,0.044196104383846996,male,1610,total_repeats
-0.026958201152085394,0.044522879671864905,-0.11422144179694871,0.060305039492777913,0.5448528294952977,male_minus_female,1610,total_repeats
0.5720849885465622,0.02587681206026325,0.5213673688737359,0.6228026082193885,2.6464669976564593e-108,female,1610,receiving_aid_now
0.47355508482070807,0.02719843125873842,0.4202471391175938,0.5268630305238223,6.794451066140314e-68,male,1610,receiving_aid_now
-0.09852990372585413,0.03754149791015943,-0.17210988755545029,-0.02494991989625797,0.008676107280792322,male_minus_female,1610,receiving_aid_now
0.07397280038691359,0.021171782080569263,0.032476870020468486,0.1154687307533587,0.0004759594150651281,female,1600,started_g6_private
0.05632220302773405,0.023819995560134023,0.00963586961796866,0.10300853643749944,0.01805478846533897,male,1600,started_g6_private
-0.017650597359179537,0.0318690530915482,-0.08011279364000716,0.044811598921648085,0.5796831748614016,male_minus_female,1600,started_g6_private
0.17896129110497525,0.029169791857038142,0.12178954962865232,0.23613303258129817,8.507442871487076e-10,female,1600,started_g7_private
0.158812055147732,0.03173105606209923,0.09662032807459786,0.22100378222086614,5.587921946552288e-07,male,1600,started_g7_private
-0.020149235957243244,0.043101469531780616,-0.1046265639202814,0.06432809200579491,0.6401538263568846,male_minus_female,1600,started_g7_private
