effect,se,low,high,p,control_mean,treatment_mean,n,missing,outcome
-0.0017270911516440706,0.004013593581579328,-0.009593590020120462,0.0061394077168323204,0.6669698461661278,0.007540338139743113,0.005813246988099042,1618,0,in_school_now
-0.005562299078557516,0.005153672592006139,-0.01566331174700046,0.004538713589885427,0.2804591795875262,0.013773813599143894,0.008211514520586377,1618,0,in_private_now
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,total_repeats
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,receiving_aid_now
-0.012907799761828185,0.005276266529993929,-0.023249092133450125,-0.002566507390206245,0.014429526976007388,0.017705449078245075,0.004797649316416891,1618,0,started_g6_private
-0.012907799761828185,0.005276266529993929,-0.023249092133450125,-0.002566507390206245,0.014429526976007388,0.017705449078245075,0.004797649316416891,1618,0,started_g7_private
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,finished_g6
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,finished_g7
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,finished_g8
-0.015461357534050674,0.005566850553240582,-0.02637218412571879,-0.00455053094238256,0.005479609806587651,0.020259006850467564,0.004797649316416891,1618,0,repeats_g6
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,ever_repeated
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,years_in_school
-0.00658208574988969,0.004125283679815616,-0.014667493188338938,0.0015033216885595585,0.11058987379670963,0.010154063500427777,0.0035719777505380866,1618,0,married_or_cohab
-0.007888948430232022,0.004318220676262893,-0.016352505433003255,0.000574608572539213,0.06771511702550957,0.011460926180770109,0.0035719777505380866,1618,0,has_child
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,working
-0.005254199543546006,0.0035117724697784486,-0.01213714710621085,0.0016287480191188386,0.13461003323272674,0.007600505728205288,0.002346306184659282,1618,0,hours_worked
