applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood
100163,A,2020,0,0,12,1,2,19
100164,B,2018,1,0,10,0,3,
100165,A,2020,0,1,14,1,2,
100166,A,2020,0,0,11,1,2,
100167,A,2020,1,1,14,1,2,17
100168,A,2022,0,0,11,1,3,
100169,A,2020,1,1,12,1,2,4
100170,A,2020,0,0,12,1,3,10
100171,A,2020,1,0,14,1,2,10
100172,A,2020,0,0,16,1,2,
100173,A,2020,0,1,,1,1,17
100174,A,2022,1,1,12,1,2,
100175,A,2020,0,0,13,1,1,
100176,A,2020,0,1,11,1,2,
100177,B,2018,0,0,13,0,1,
100178,A,2020,0,0,14,1,2,7
100179,A,2020,0,1,11,1,3,19
100180,A,2020,0,1,12,1,2,11
100181,B,2018,1,1,13,1,2,
100182,A,2022,1,1,16,1,2,
100183,A,2020,0,0,12,1,3,8
100184,A,2020,0,0,12,1,1,
100185,A,2022,0,0,16,1,,
100186,A,2020,1,1,11,1,2,5
100187,B,2018,0,0,11,1,3,
100188,A,2022,0,0,13,1,2,
100189,A,2020,1,0,11,1,3,6
100190,B,2018,0,0,13,0,1,
100191,A,2020,1,1,14,1,1,6
100192,A,2020,1,0,13,1,3,12
100193,A,2020,1,1,12,1,2,19
100194,A,2020,1,1,14,1,2,4
100195,A,2020,1,0,13,1,3,
100196,B,2018,0,1,13,0,3,
100197,B,2018,1,0,13,1,2,
100198,A,2020,1,1,12,1,3,7
100199,A,2022,1,1,12,1,2,
100200,A,2020,1,1,15,1,2,
100201,A,2020,0,1,12,1,2,6
100202,A,2020,1,0,13,1,2,7
100203,A,2020,1,1,15,1,2,
100204,A,2020,1,1,12,1,1,
100205,A,2020,0,0,,1,,
100206,A,2020,0,0,12,1,2,17
100207,A,2020,0,1,13,1,2,
100208,A,2020,0,0,,1,2,19
100209,A,2022,1,1,11,1,2,
100210,A,2020,0,1,15,1,2,17
100211,A,2020,0,0,14,1,3,9
100212,A,2022,0,1,14,1,2,
100213,A,2020,1,1,12,1,1,
100214,A,2020,1,1,11,1,2,
100215,A,2020,0,1,13,1,2,
100216,A,2020,0,0,11,1,2,6
100217,A,2020,0,1,13,1,2,
100218,A,2020,0,0,14,1,2,
100219,A,2022,1,1,12,1,2,
100220,A,2020,0,0,13,1,,
100221,A,2020,1,0,14,1,2,
100222,A,2020,1,1,12,1,3,6
100223,A,2020,1,0,13,1,1,19
100224,A,2020,0,1,12,1,2,7
100225,A,2020,1,0,11,1,2,
100226,A,2020,0,0,15,1,2,
100227,A,2020,0,1,12,1,3,
100228,A,2020,0,0,13,1,2,
100229,B,2018,1,0,12,0,2,
100230,A,2020,0,1,12,1,2,1
100231,A,2020,1,0,,1,2,6
100232,B,2018,1,1,11,0,3,
100233,A,2020,1,1,13,1,2,8
100234,A,2020,0,0,12,1,1,9
100235,A,2020,0,1,12,1,1,19
100236,A,2022,0,0,13,1,2,
100237,A,2020,0,0,11,1,2,11
100238,A,2020,1,1,14,1,2,4
