applicant_id,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked
100790,14,8,1,0,5.0,9.0,39.0,39.0,0,0,1,0,1,1,6,1,0,0,0,1,1,3,0,0,0,0.0
100643,15,4,0,0,11.0,5.0,36.0,39.0,,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101090,16,3,0,0,1.0,5.0,49.0,44.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,0,1,1,0.0
100885,15,4,0,0,,,36.0,38.0,0,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,0,0.0
101089,18,7,1,1,5.0,3.0,45.0,46.0,0,1,1,1,1,1,10,1,1,1,0,0,0,6,0,0,0,0.0
100503,15,3,0,0,8.0,10.0,36.0,38.0,0,0,1,1,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0
101301,17,3,0,0,6.0,6.0,34.0,40.0,0,0,1,0,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0
101348,15,4,0,0,6.0,,37.0,40.0,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0
100141,17,6,1,0,,,,,,0,1,1,1,1,8,1,1,1,1,1,1,4,0,0,0,0.0
100179,14,5,0,0,,,56.0,60.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101570,17,4,0,0,8.0,10.0,41.0,53.0,0,0,1,0,0,0,5,0,0,0,1,1,1,2,0,0,1,40.0
100813,12,7,1,0,,,,,,0,1,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100348,14,6,0,0,6.0,2.0,34.0,28.0,1,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100058,15,4,0,0,7.0,11.0,58.0,61.0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,40.0
100116,17,1,0,0,2.0,5.0,35.0,40.0,0,0,1,1,1,1,7,1,1,0,0,0,0,3,0,0,1,10.0
100653,15,3,0,0,5.0,,37.0,42.0,0,0,1,0,0,0,6,1,0,0,2,1,2,3,0,0,1,40.0
