"cohort","selected","applicants","aid_observed","aid_mean","private_observed","private_mean"
"A_2020",0,583,579,0.0552677029360967,573,0.537521815008726
"A_2020",1,593,592,0.5625,590,0.696610169491525
"A_2022",0,131,129,0.0465116279069767,130,0.653846153846154
"A_2022",1,146,146,0.705479452054795,145,0.813793103448276
"B_2018",0,74,74,0.027027027027027,74,0.405405405405405
"B_2018",1,91,90,0.444444444444444,88,0.590909090909091
